authors,original_publication_year,original_title,title,average_rating,ratings_count,image_url,small_image_url,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,book_id,work_ratings_count
Simone Elkeles,2008,Perfect Chemistry,"Perfect Chemistry (Perfect Chemistry, #1)",4.07,198627,https://images.gr-assets.com/books/1439792475m/4268157.jpg,https://images.gr-assets.com/books/1439792475s/4268157.jpg,7237456,7237456,8159756,36,393068471,9.78E+12,2841,205008
Scott Westerfeld,2005,Pretties,"Pretties (Uglies, #2)",3.85,193405,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,3410425,3410425,3450678,51,446195502,9.78E+12,2842,203755
"Haruki Murakami, Jay Rubin",1994,ねじまき鳥クロニクル [Nejimakidori kuronikuru],The Wind-Up Bird Chronicle,4.17,133408,https://images.gr-assets.com/books/1327872639m/11275.jpg,https://images.gr-assets.com/books/1327872639s/11275.jpg,3918010,3918010,3963458,30,785132619,9.78E+12,2843,159705
Michael Connelly,2005,The Lincoln Lawyer ,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)",4.14,149438,https://images.gr-assets.com/books/1370140049m/79885.jpg,https://images.gr-assets.com/books/1370140049s/79885.jpg,408615,408615,69191,47,1401908977,9.78E+12,2844,160724
David Mitchell,2004,Cloud Atlas,Cloud Atlas,4.01,152441,https://images.gr-assets.com/books/1406383769m/49628.jpg,https://images.gr-assets.com/books/1406383769s/49628.jpg,6686101,6686101,6881431,36,61449121,9.78E+12,2845,172239
Banksy,1988,Wall and Piece,Wall and Piece,3.83,149453,https://images.gr-assets.com/books/1327904853m/114683.jpg,https://images.gr-assets.com/books/1327904853s/114683.jpg,5344,5344,6751955,773,321107217,9.78E+12,2846,150117
Lauren Oliver,2012,Pandemonium,"Pandemonium (Delirium, #2)",4.07,181656,https://images.gr-assets.com/books/1310371414m/9593911.jpg,https://images.gr-assets.com/books/1310371414s/9593911.jpg,16033842,16033842,21805083,131,2877068161,9.78E+12,2847,191644
Jeff Lindsay,2004,Darkly Dreaming Dexter,"Darkly Dreaming Dexter (Dexter, #1)",3.89,150055,https://images.gr-assets.com/books/1334404607m/17231.jpg,https://images.gr-assets.com/books/1334404607s/17231.jpg,3722183,3722183,42652219,58,316176532,9.78E+12,2848,157862
Charlaine Harris,2002,Living Dead in Dallas,"Living Dead in Dallas (Sookie Stackhouse, #2)",3.97,190565,https://images.gr-assets.com/books/1329501808m/110494.jpg,https://images.gr-assets.com/books/1329501808s/110494.jpg,6681454,6681454,14597518,77,052595158X,9.78E+12,2849,209338
Robert Jordan,1991,The Dragon Reborn ,"The Dragon Reborn (Wheel of Time, #3)",4.23,153809,https://images.gr-assets.com/books/1480096580m/34897.jpg,https://images.gr-assets.com/books/1480096580s/34897.jpg,46202,46202,1254584,54,373802498,9.78E+12,2850,164783
"Jonathan Swift, Robert DeMaria Jr.",1726,Gulliver’s Travels,Gulliver's Travels,3.55,168727,https://images.gr-assets.com/books/1427829692m/7733.jpg,https://images.gr-assets.com/books/1427829692s/7733.jpg,667985,667985,2148984,14,1931514925,9.78E+12,2851,188299
"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",1598,Much Ado About Nothing,Much Ado About Nothing,4.06,175616,https://images.gr-assets.com/books/1327885569m/12957.jpg,https://images.gr-assets.com/books/1327885569s/12957.jpg,57891,57891,2786327,36,156931778X,9.78E+12,2852,185702
"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",1987,Batman: Year One,Batman: Year One,4.23,145267,https://images.gr-assets.com/books/1327940389m/59980.jpg,https://images.gr-assets.com/books/1327940389s/59980.jpg,5126859,5126859,5193717,31,553807218,9.78E+12,2853,148446
Harper Lee,2015,Go Set a Watchman,Go Set a Watchman,3.31,138669,https://images.gr-assets.com/books/1451442088m/24817626.jpg,https://images.gr-assets.com/books/1451442088s/24817626.jpg,107301,107301,276591,114,1842323008,9.78E+12,2854,164828
Laini Taylor,2011,Daughter of Smoke & Bone,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",4.04,198283,https://images.gr-assets.com/books/1461353773m/8490112.jpg,https://images.gr-assets.com/books/1461353773s/8490112.jpg,18667945,18667945,26493608,35,039916927X,9.78E+12,2855,228815
Victoria Aveyard,2015,Red Queen,"Red Queen (Red Queen, #1)",4.08,83354,https://images.gr-assets.com/books/1411472322m/17878931.jpg,https://images.gr-assets.com/books/1411472322s/17878931.jpg,2485785,2485785,1544939,43,778325318,9.78E+12,2856,289740
Charles Duhigg,2011,The Power of Habit,The Power of Habit: Why We Do What We Do in Life and Business,4.03,155977,https://images.gr-assets.com/books/1366758683m/12609433.jpg,https://images.gr-assets.com/books/1366758683s/12609433.jpg,188230,188230,2570338,72,445406518,9.78E+12,2857,170269
John Berendt,1994,Midnight in the Garden of Good and Evil,Midnight in the Garden of Good and Evil,3.9,167997,https://images.gr-assets.com/books/1427166915m/386187.jpg,https://images.gr-assets.com/books/1427166915s/386187.jpg,6070950,6070950,6247416,68,425230074,9.78E+12,2858,175681
Colleen Hoover,2012,Hopeless,"Hopeless (Hopeless, #1)",4.34,189938,https://images.gr-assets.com/books/1353489892m/15717943.jpg,https://images.gr-assets.com/books/1353489892s/15717943.jpg,19670,19670,17028842,57,425147584,9.78E+12,2859,207777
"Frances Hodgson Burnett, Nancy Bond",1905,A Little Princess,A Little Princess,4.2,199872,https://images.gr-assets.com/books/1327868556m/3008.jpg,https://images.gr-assets.com/books/1327868556s/3008.jpg,17343,17343,2072983,70,156904365,9.78E+12,2860,215833
C.S. Lewis,1954,The horse and his boy,"The Horse and His Boy (Chronicles of Narnia, #5)",3.9,189671,https://images.gr-assets.com/books/1388210968m/84119.jpg,https://images.gr-assets.com/books/1388210968s/84119.jpg,224500,224500,1275528,91,142406120,9.78E+12,2861,209180
Richelle Mead,2010,Last Sacrifice ,"Last Sacrifice (Vampire Academy, #6)",4.42,206792,https://images.gr-assets.com/books/1319850978m/6527740.jpg,https://images.gr-assets.com/books/1319850978s/6527740.jpg,15676,15676,359553,62,425181111,9.78E+12,2862,217652
"Laura Ingalls Wilder, Garth Williams",1935,Little House on the Prairie,"Little House on the Prairie (Little House, #2)",4.18,195424,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,93794,93794,2153394,45,451209338,9.78E+12,2863,200869
"Margery Williams Bianco, William   Nicholson",1922,The Velveteen Rabbit,The Velveteen Rabbit,4.29,173469,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,490867,490867,2318048,20,1844280594,9.78E+12,2864,186686
Robert M. Pirsig,1974,Zen and the Art of Motorcycle Maintenance,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,3.76,139411,https://images.gr-assets.com/books/1410136019m/629.jpg,https://images.gr-assets.com/books/1410136019s/629.jpg,47558,47558,3211551,8,747541604,9.78E+12,2865,153992
"H.G. Wells, Arthur C. Clarke",1897,The War of the Worlds,The War of the Worlds,3.8,159752,https://images.gr-assets.com/books/1320391644m/8909.jpg,https://images.gr-assets.com/books/1320391644s/8909.jpg,13147230,13147230,18164154,43,62067753,9.78E+12,2866,181437
Michael Pollan,2006,The Omnivore's Dilemma,The Omnivore's Dilemma: A Natural History of Four Meals,4.17,133271,https://images.gr-assets.com/books/1393804353m/3109.jpg,https://images.gr-assets.com/books/1393804353s/3109.jpg,1319,1319,722104,29,446691437,9.78E+12,2867,147664
Kate Atkinson,2013,Life After Life,Life After Life,3.74,138454,https://images.gr-assets.com/books/1358173808m/15790842.jpg,https://images.gr-assets.com/books/1358173808s/15790842.jpg,13223520,13223520,17258588,14,,,2868,158661
Diana Gabaldon,1993,Voyager,"Voyager (Outlander, #3)",4.38,157395,https://images.gr-assets.com/books/1483278195m/10987.jpg,https://images.gr-assets.com/books/1483278195s/10987.jpg,11438,11438,2739837,72,679723056,9.78E+12,2869,184208
"Kenneth Branagh, William Shakespeare",1996,,"Hamlet: Screenplay, Introduction And Film Diary",4.12,156869,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,104379,104379,1070158,39,670061107,9.78E+12,2870,156873
Jeffrey Eugenides,1993,The Virgin Suicides,The Virgin Suicides,3.83,159249,https://images.gr-assets.com/books/1319032910m/10956.jpg,https://images.gr-assets.com/books/1319032910s/10956.jpg,10790290,10790290,15702572,21,316187747,9.78E+12,2871,179190
Charlaine Harris,2004,Dead to the World,"Dead to the World (Sookie Stackhouse, #4)",4.13,199572,https://images.gr-assets.com/books/1468561630m/140077.jpg,https://images.gr-assets.com/books/1468561630s/140077.jpg,17286747,17286747,23845712,25,1250010691,9.78E+12,2872,210205
"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",1891,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,Tess of the D'Urbervilles,3.77,171599,https://images.gr-assets.com/books/1497218117m/32261.jpg,https://images.gr-assets.com/books/1497218117s/32261.jpg,218467,218467,1842237,29,449208133,9.78E+12,2873,190665
"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",1856,Madame Bovary,Madame Bovary,3.64,158877,https://images.gr-assets.com/books/1335676143m/2175.jpg,https://images.gr-assets.com/books/1335676143s/2175.jpg,114144,114144,1353111,74,425205754,9.78E+12,2874,186553
Brandon Sanderson,2010,The Way of Kings,"The Way of Kings (The Stormlight Archive, #1)",4.64,144822,https://images.gr-assets.com/books/1388184640m/7235533.jpg,https://images.gr-assets.com/books/1388184640s/7235533.jpg,31548,31548,2547187,343,451530179,9.78E+12,2875,164477
Brandon Sanderson,2007,,"The Well of Ascension (Mistborn, #2)",4.35,150736,https://images.gr-assets.com/books/1480717596m/68429.jpg,https://images.gr-assets.com/books/1480717596s/68429.jpg,18879761,18879761,26881966,54,451471474,9.78E+12,2876,171402
Jojo Moyes,2015,After You,"After You (Me Before You, #2)",3.7,99342,https://images.gr-assets.com/books/1429029729m/25041504.jpg,https://images.gr-assets.com/books/1429029729s/25041504.jpg,99110,99110,17121965,45,525467262,9.78E+12,2877,175532
Vanessa Diffenbaugh,2011,The Language of Flowers,The Language of Flowers,4.07,140076,https://images.gr-assets.com/books/1333577674m/10032672.jpg,https://images.gr-assets.com/books/1333577674s/10032672.jpg,32527,32527,235306,52,553584537,9.78E+12,2878,159668
"Frank Miller, Klaus Janson, Lynn Varley",1986,Batman: The Dark Knight Returns,"Batman: The Dark Knight Returns (The Dark Knight Saga, #1)",4.25,135979,https://images.gr-assets.com/books/1327892039m/59960.jpg,https://images.gr-assets.com/books/1327892039s/59960.jpg,153542,153542,1069773,40,395169615,9.78E+12,2879,144349
James Patterson,2005,The Angel Experiment,"The Angel Experiment (Maximum Ride, #1)",4.08,172302,https://images.gr-assets.com/books/1339277875m/13152.jpg,https://images.gr-assets.com/books/1339277875s/13152.jpg,17383994,17383994,27356672,26,62278789,9.78E+12,2880,183035
Nick Hornby,1995,High Fidelity,High Fidelity,3.94,134849,https://images.gr-assets.com/books/1327928082m/285092.jpg,https://images.gr-assets.com/books/1327928082s/285092.jpg,116296,116296,144656,61,61161640,9.78E+12,2881,150929
Margaret Atwood,2003,Oryx and Crake,"Oryx and Crake (MaddAddam, #1)",4,151500,https://images.gr-assets.com/books/1494109986m/46756.jpg,https://images.gr-assets.com/books/1494109986s/46756.jpg,7074000,7074000,7327847,64,1423368991,9.78E+12,2882,167177
Anthony Bourdain,2000,Kitchen Confidential: Adventures in the Culinary Underbelly,Kitchen Confidential: Adventures in the Culinary Underbelly,4,134177,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,10908,10908,1069959,44,140230270,9.78E+12,2883,145933
Voltaire,1759,Candide,Candide,3.76,151471,https://images.gr-assets.com/books/1345060082m/19380.jpg,https://images.gr-assets.com/books/1345060082s/19380.jpg,16150830,16150830,21986942,35,1423157516,9.78E+12,2884,171617
Natalie Babbitt,1975,Tuck Everlasting,Tuck Everlasting,3.85,174280,https://images.gr-assets.com/books/1445184695m/84981.jpg,https://images.gr-assets.com/books/1445184695s/84981.jpg,3257136,3257136,3292360,103,446407410,9.78E+12,2885,184056
P.D. Eastman,1960,Are You My Mother?,Are You My Mother?,4.16,174204,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,16248113,16248113,21599439,40,62104896,9.78E+12,2886,177809
Marissa Meyer,2013,Scarlet,"Scarlet (The Lunar Chronicles, #2)",4.3,193766,https://images.gr-assets.com/books/1470056982m/13206760.jpg,https://images.gr-assets.com/books/1470056982s/13206760.jpg,30259,30259,477836,37,60788380,9.78E+12,2887,213010
Robert T. Kiyosaki,1997,"Rich Dad , Poor Dad","Rich Dad, Poor Dad",3.95,153764,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,20821043,20821043,21598636,44,670026328,9.78E+12,2888,173904
Becca Fitzpatrick,2011,Silence ,"Silence (Hush, Hush, #3)",4.16,190722,https://images.gr-assets.com/books/1362408152m/10637766.jpg,https://images.gr-assets.com/books/1362408152s/10637766.jpg,6604209,6604209,6798109,15,076536543X,9.78E+12,2889,197338
Lev Grossman,2009,The Magicians,The Magicians (The Magicians #1),3.47,147908,https://images.gr-assets.com/books/1313772941m/6101718.jpg,https://images.gr-assets.com/books/1313772941s/6101718.jpg,227729,227729,2495542,79,671024094,9.78E+12,2890,165609
"Tsugumi Ohba, Takeshi Obata",2004,デスノート #1 (Desu Nōto) Taikutsu (退屈),"Death Note, Vol. 1: Boredom (Death Note, #1)",4.42,139501,https://images.gr-assets.com/books/1419952134m/13615.jpg,https://images.gr-assets.com/books/1419952134s/13615.jpg,6545536,6545536,6737901,26,545060486,9.78E+12,2891,141095
Libba Bray,2003,A Great and Terrible Beauty,"A Great and Terrible Beauty (Gemma Doyle, #1)",3.79,173613,https://images.gr-assets.com/books/1284558475m/3682.jpg,https://images.gr-assets.com/books/1284558475s/3682.jpg,808853,808853,251371,21,618164413,9.78E+12,2892,182107
Jonathan Safran Foer,2002,Everything Is Illuminated,Everything Is Illuminated,3.9,131492,https://images.gr-assets.com/books/1479774440m/256566.jpg,https://images.gr-assets.com/books/1479774440s/256566.jpg,11082037,11082037,15547563,74,316069418,9.78E+12,2893,144312
"Charles Dickens, Jeremy Tambling",1849,David Copperfield,David Copperfield,3.96,150512,https://images.gr-assets.com/books/1461452762m/58696.jpg,https://images.gr-assets.com/books/1461452762s/58696.jpg,500503,500503,488611,10,189221301X,6.46E+11,2894,164400
"Sherman Alexie, Ellen Forney",2007,The Absolutely True Diary of a Part-Time Indian,The Absolutely True Diary of a Part-Time Indian,4.11,160607,https://images.gr-assets.com/books/1327908992m/693208.jpg,https://images.gr-assets.com/books/1327908992s/693208.jpg,17331349,17331349,24034629,48,62218360,9.78E+12,2895,171492
"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",1967,Мастер и Маргарита,The Master and Margarita,4.32,131389,https://images.gr-assets.com/books/1327867963m/117833.jpg,https://images.gr-assets.com/books/1327867963s/117833.jpg,13436373,13436373,18940474,8,545326990,9.78E+12,2896,156780
"Kate DiCamillo, Chris Sheban",2000,Because of Winn-Dixie,Because of Winn-Dixie,4,154476,https://images.gr-assets.com/books/1456871914m/357664.jpg,https://images.gr-assets.com/books/1456871914s/357664.jpg,3110,3110,824686,18,074326004X,9.78E+12,2897,159075
John Grisham,1995,The Rainmaker,The Rainmaker,3.91,137412,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,92121,92121,1383240,79,380014300,9.78E+12,2898,142791
"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",1605,Don Quijote de La Mancha,Don Quixote,3.85,134931,https://images.gr-assets.com/books/1364958765m/3836.jpg,https://images.gr-assets.com/books/1364958765s/3836.jpg,18144053,18144053,25491380,30,1451693567,9.78E+12,2899,159253
Robin Hobb,1995,Assassin's Apprentice,"Assassin's Apprentice (Farseer Trilogy, #1)",4.14,132777,https://images.gr-assets.com/books/1320339497m/45107.jpg,https://images.gr-assets.com/books/1320339497s/45107.jpg,3220405,3220405,3465687,31,765304961,9.78E+12,2900,162482
Douglas Adams,1980,The Restaurant at the End of the Universe,"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)",4.22,153838,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,421129,421129,2523603,38,042519485X,9.78E+12,2901,172365
Lauren Kate,2010,Torment,"Torment (Fallen, #2)",3.89,174393,https://images.gr-assets.com/books/1362339749m/7740152.jpg,https://images.gr-assets.com/books/1362339749s/7740152.jpg,4005,4005,19254211,143,722536542,9.78E+12,2902,181384
Beatrix Potter,1901,The Tale of Peter Rabbit,The Tale of Peter Rabbit,4.17,162373,https://images.gr-assets.com/books/1485118382m/19321.jpg,https://images.gr-assets.com/books/1485118382s/19321.jpg,35519,35519,971052,46,385418868,9.78E+12,2903,165470
"C.S. Lewis, Pauline Baynes",1953,The Silver Chair,"The Silver Chair (Chronicles of Narnia, #4)",3.95,170453,https://images.gr-assets.com/books/1336139237m/65641.jpg,https://images.gr-assets.com/books/1336139237s/65641.jpg,21418013,21418013,26115712,29,765375869,9.78E+12,2904,185348
Brandon Sanderson,2008,The Hero of Ages,"The Hero of Ages (Mistborn, #3)",4.46,143622,https://images.gr-assets.com/books/1480717763m/2767793.jpg,https://images.gr-assets.com/books/1480717763s/2767793.jpg,17380041,17380041,24080996,64,385351232,9.78E+12,2905,161085
Susanna Kaysen,1993,"Girl, Interrupted","Girl, Interrupted",3.9,145161,https://images.gr-assets.com/books/1475482930m/68783.jpg,https://images.gr-assets.com/books/1475482930s/68783.jpg,21412202,21412202,27029851,1,1476764026,9.78E+12,2906,151176
Cassandra Clare,2014,City of Heavenly Fire,"City of Heavenly Fire (The Mortal Instruments, #6)",4.48,177796,https://images.gr-assets.com/books/1460477794m/8755785.jpg,https://images.gr-assets.com/books/1460477794s/8755785.jpg,773276,773276,2992071,36,399230033,9.78E+12,2907,203325
Daniel James Brown,2013,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4.32,113565,https://images.gr-assets.com/books/1354683116m/16158542.jpg,https://images.gr-assets.com/books/1354683116s/16158542.jpg,13522285,13522285,19082966,36,62217135,9.78E+12,2908,139128
"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",1977,The Silmarillion,The Silmarillion (Middle-Earth Universe),3.87,134106,https://images.gr-assets.com/books/1336502583m/7332.jpg,https://images.gr-assets.com/books/1336502583s/7332.jpg,6389704,6389704,6578095,34,054506046X,9.78E+12,2909,160751
Stephen King,1987,The Drawing of the Three,"The Drawing of the Three (The Dark Tower, #2)",4.23,139052,https://images.gr-assets.com/books/1370918050m/5094.jpg,https://images.gr-assets.com/books/1370918050s/5094.jpg,138269,138269,985716,73,1840187166,9.78E+12,2910,157513
"Franz Kafka, Edwin Muir, Willa Muir, Max Brod",1925,Der Prozeß,The Trial,3.98,131856,https://images.gr-assets.com/books/1320399438m/17690.jpg,https://images.gr-assets.com/books/1320399438s/17690.jpg,30248,30248,2644676,38,515133876,9.78E+12,2911,159270
Sarah Dessen,2002,This Lullaby,This Lullaby,4.03,151829,https://images.gr-assets.com/books/1397779294m/22205.jpg,https://images.gr-assets.com/books/1397779294s/22205.jpg,119760,119760,1075398,45,684865181,9.78E+12,2912,155107
Jodi Picoult,2000,Plain Truth,Plain Truth,3.97,128406,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,16099159,16099159,21908552,32,345545834,9.78E+12,2913,138814
Piper Kerman,2010,Orange Is the New Black: My Year in a Women's Prison,Orange Is the New Black,3.7,127186,https://images.gr-assets.com/books/1320520714m/6314763.jpg,https://images.gr-assets.com/books/1320520714s/6314763.jpg,3483,3483,910619,52,067003777X,9.78E+12,2914,146868
"Arthur Conan Doyle, Anne Perry",1902,The Hound of the Baskervilles,The Hound of the Baskervilles,4.09,154517,https://images.gr-assets.com/books/1355929358m/8921.jpg,https://images.gr-assets.com/books/1355929358s/8921.jpg,18498558,18498558,26186624,49,62259652,9.78E+12,2915,178563
Daniel Kahneman,2011,"Thinking, Fast and Slow","Thinking, Fast and Slow",4.08,136950,https://images.gr-assets.com/books/1317793965m/11468377.jpg,https://images.gr-assets.com/books/1317793965s/11468377.jpg,12476820,12476820,17461183,37,62071041,9.78E+12,2916,149271
Marion Zimmer Bradley,1982,The Mists of Avalon,"The Mists of Avalon (Avalon, #1)",4.12,157736,https://images.gr-assets.com/books/1388857089m/402045.jpg,https://images.gr-assets.com/books/1388857089s/402045.jpg,72223,72223,3222858,19,618773479,9.78E+12,2917,163331
Judy Blume,1970,"Are You There God? It's Me, Margaret","Are You There God? It's Me, Margaret",3.89,151789,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,17802747,17802747,24904359,29,758278454,9.78E+12,2918,162083
Nicholas Sparks,2002,Nights in Rodanthe,Nights in Rodanthe,3.82,129807,https://images.gr-assets.com/books/1328145638m/15926.jpg,https://images.gr-assets.com/books/1328145638s/15926.jpg,3047850,3047850,3821158,42,006156608X,9.78E+12,2919,136507
Stephen King,2014,Mr. Mercedes,"Mr. Mercedes (Bill Hodges Trilogy, #1)",3.92,125847,https://images.gr-assets.com/books/1468705326m/18775247.jpg,https://images.gr-assets.com/books/1468705326s/18775247.jpg,184655,184655,2127844,46,1416516352,9.78E+12,2920,148491
Charlaine Harris,2007,All Together Dead,"All Together Dead (Sookie Stackhouse, #7)",4.05,162689,https://images.gr-assets.com/books/1417964062m/140075.jpg,https://images.gr-assets.com/books/1417964062s/140075.jpg,395090,395090,1185316,67,60931728,9.78E+12,2921,173654
Tom Clancy,1987,Patriot Games,"Patriot Games (Jack Ryan Universe, #2)",4.11,141674,https://images.gr-assets.com/books/1328007145m/32682.jpg,https://images.gr-assets.com/books/1328007145s/32682.jpg,13223349,13223349,18412501,27,1401235417,9.78E+12,2922,146201
"Paulo Coelho, Margaret Jull Costa",1998,Veronika decide morrer,Veronika Decides to Die,3.69,111856,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,33457,33457,2915038,47,60735422,9.78E+12,2923,132191
"Sheryl Sandberg, Nell Scovell",2013,"Lean In: Women, Work, and the Will to Lead","Lean In: Women, Work, and the Will to Lead",3.94,135635,https://images.gr-assets.com/books/1364250803m/16071764.jpg,https://images.gr-assets.com/books/1364250803s/16071764.jpg,46438,46438,143448,99,451219953,9.78E+12,2924,145331
Charlaine Harris,2005,Dead as a Doornail ,"Dead as a Doornail (Sookie Stackhouse, #5)",4.01,169560,https://images.gr-assets.com/books/1468562419m/170210.jpg,https://images.gr-assets.com/books/1468562419s/170210.jpg,6534932,6534932,6727073,11,345518519,9.78E+12,2925,179156
Sophie Kinsella,2011,I've Got Your Number,I've Got Your Number,3.93,144533,https://images.gr-assets.com/books/1327956732m/12033455.jpg,https://images.gr-assets.com/books/1327956732s/12033455.jpg,240976,240976,3428728,112,60932147,9.78E+12,2926,154513
"Jostein Gaarder, Paulette Møller",1991,Sofies Verden,Sophie's World,3.88,109692,https://images.gr-assets.com/books/1343459906m/10959.jpg,https://images.gr-assets.com/books/1343459906s/10959.jpg,479415,479415,467825,111,440222656,9.78E+12,2927,143393
Mark Cotta Vaz,2011,,"The Twilight Saga Breaking Dawn Part 1: The Official Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #4)",4.3,188136,https://images.gr-assets.com/books/1327904795m/11260526.jpg,https://images.gr-assets.com/books/1327904795s/11260526.jpg,46191,9201647,2572759,50,1580627560,9.78E+12,2928,188274
Jennifer Egan,2010,A Visit From the Goon Squad,A Visit from the Goon Squad,3.64,120126,https://images.gr-assets.com/books/1356844046m/7331435.jpg,https://images.gr-assets.com/books/1356844046s/7331435.jpg,3047851,3047851,3078642,23,61566179,9.78E+12,2929,139744
"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",1880,Heidi,Heidi,3.97,144497,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1225621,1225621,1214135,29,60788704,9.78E+12,2930,154669
C.S. Lewis,1956,The Last Battle,"The Last Battle (Chronicles of Narnia, #7)",4.02,158701,https://images.gr-assets.com/books/1308814830m/84369.jpg,https://images.gr-assets.com/books/1308814830s/84369.jpg,433567,433567,4243538,566,048627263X,9.78E+12,2931,174641
Ken Follett,2007,World Without End,"World Without End (The Kingsbridge Series, #2)",4.23,128715,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,7728889,7728889,10501517,48,031612611X,9.78E+12,2932,145292
Colleen Hoover,2012,Slammed,"Slammed (Slammed, #1)",4.29,153882,https://images.gr-assets.com/books/1328530463m/13372690.jpg,https://images.gr-assets.com/books/1328530463s/13372690.jpg,3798703,3798703,3842894,38,375851798,9.78E+12,2933,176166
Alex Flinn,2007,"Beastly (Beastly, #1, Kendra Chronicles, #1)","Beastly (Beastly, #1; Kendra Chronicles, #1)",3.84,150003,https://images.gr-assets.com/books/1334260193m/544891.jpg,https://images.gr-assets.com/books/1334260193s/544891.jpg,14142,14142,1561022,172,61129739,9.78E+12,2934,157088
"Geoffrey Chaucer, Nevill Coghill",1390,Tales of Caunterbury,The Canterbury Tales,3.48,148480,https://images.gr-assets.com/books/1261208589m/2696.jpg,https://images.gr-assets.com/books/1261208589s/2696.jpg,537070,537070,2432390,45,043979143X,9.78E+12,2935,158661
"Haruki Murakami, Jay Rubin, Philip Gabriel",2009,いちきゅうはちよん [Ichi-Kyū-Hachi-Yon],1Q84,3.89,125195,https://images.gr-assets.com/books/1483103331m/10357575.jpg,https://images.gr-assets.com/books/1483103331s/10357575.jpg,64218,64218,59951,80,380821214,9.78E+12,2936,138691
Harriet Beecher Stowe,1852,Uncle Tom's Cabin or Life Among the Lowly,Uncle Tom's Cabin,3.83,137858,https://images.gr-assets.com/books/1414349231m/46787.jpg,https://images.gr-assets.com/books/1414349231s/46787.jpg,25102,25102,810826,33,1563890933,9.78E+12,2937,155559
